date,team,rank
2025-12-24,Notre Dame,81
2025-12-24,Oakland,134
2025-12-24,Ohio,206
2025-12-24,Ohio St.,47
2025-12-24,Oklahoma,52
2025-12-24,Oklahoma St.,72
2025-12-24,Old Dominion,239
2025-12-24,Ole Miss,99
2025-12-24,Omaha,245
2025-12-24,Oral Roberts,294
2025-12-24,Oregon,103
2025-12-24,Oregon St.,177
2025-12-24,Pacific,102
2025-12-24,Penn,232
2025-12-24,Penn St.,148
2025-12-24,Pepperdine,254
2025-12-24,Pittsburgh,119
2025-12-24,Portland,227
2025-12-24,Portland St.,183
2025-12-24,Prairie View,290
2025-12-24,Presbyterian,283
2025-12-24,Princeton,293
2025-12-24,Providence,100
2025-12-24,Purdue,7
2025-12-24,Purdue Fort Wayne,200
2025-12-24,Queens (NC),221
2025-12-24,Quinnipiac,144
2025-12-24,Radford,295
2025-12-24,Rhode Island,105
2025-12-24,Rice,242
2025-12-24,Richmond,91
2025-12-24,Rider,358
2025-12-24,Robert Morris,166
2025-12-24,Rutgers,196
2025-12-24,SFA,107
2025-12-24,SIUE,257
2025-12-24,SMU,36
2025-12-24,Sacramento St.,256
2025-12-24,Sacred Heart,268
2025-12-24,Saint Joseph's,249
2025-12-24,Saint Louis,26
2025-12-24,Saint Mary's (CA),27
2025-12-24,Saint Peter's,307
2025-12-24,Sam Houston,84
2025-12-24,Samford,255
2025-12-24,San Diego,234
2025-12-24,San Diego St.,87
2025-12-24,San Francisco,116
2025-12-24,San Jose St.,235
2025-12-24,Santa Clara,89
2025-12-24,Seattle U,93
2025-12-24,Seton Hall,34
2025-12-24,Siena,172
2025-12-24,South Alabama,192
2025-12-24,South Carolina,117
2025-12-24,South Carolina St.,362
2025-12-24,South Dakota,275
2025-12-24,South Dakota St.,174
2025-12-24,South Fla.,64
2025-12-24,Southeast Mo. St.,199
2025-12-24,Southeastern La.,299
2025-12-24,Southern California,37
2025-12-24,Southern Ill.,130
2025-12-24,Southern Ind.,347
2025-12-24,Southern Miss.,181
2025-12-24,Southern U.,286
2025-12-24,Southern Utah,331
2025-12-24,St. Bonaventure,98
2025-12-24,St. John's (NY),29
2025-12-24,St. Thomas (MN),113
2025-12-24,Stanford,77
2025-12-24,Stetson,348
2025-12-24,Stonehill,344
2025-12-24,Stony Brook,228
2025-12-24,Syracuse,88
